scenario;source_2035_scenario;cluster;technology;vintage_year;capacity_GW;c_inv;status;f_min_2050_GW
early_access;early_access;C4;JET_FUEL_STORAGE;2035;0.2768776459786088;0.01;chained_to_2050;0.2768776459786088
early_access;early_access;C4;GASOLINE_STORAGE;2035;6.975247462292479;0.01;chained_to_2050;6.975247462292479
early_access;early_access;C4;STOVE_WOOD;2035;0.0047255603196347;53.65514911;retired_at_2050;0.0
early_access;early_access;C4;STOVE_LPG;2035;0.013255266677173;52.20521443;retired_at_2050;0.0
early_access;early_access;C4;STOVE_NG;2035;0.0001017408690473;70.48592219;retired_at_2050;0.0
early_access;early_access;C4;STOVE_OIL;2035;0.0003469802417053;17.37818595;retired_at_2050;0.0
early_access;early_access;C4;STOVE_ELEC;2035;0.0038706133716784;20.60357726;retired_at_2050;0.0
early_access;early_access;C4;IND_BOILER_DIESEL;2035;6.082385974141995e-05;171.6964771;chained_to_2050;6.082385974141995e-05
early_access;early_access;C4;LPG_STORAGE;2035;2.642076189368001;0.01;chained_to_2050;2.642076189368001
early_access;early_access;C4;LED_BULB;2035;0.0002759957632234;0.60161002;retired_at_2050;0.0
early_access;early_access;C4;LED_LIGHT;2035;0.0001342159097467;2187.69928;retired_at_2050;0.0
early_access;early_access;C4;REFRIGERATOR_EL;2035;0.000939076194869;5.96e-05;retired_at_2050;0.0
early_access;early_access;C4;COMM_MACHINERY_DIESEL;2035;4.766584860595537e-05;0.08519203;chained_to_2050;4.766584860595537e-05
early_access;early_access;C4;COMM_MACHINERY_EL;2035;4.766584860595537e-05;0.06278883;retired_at_2050;0.0
early_access;early_access;C4;IND_MACHINERY_EL;2035;0.000159162600549;0.06278883;chained_to_2050;0.000159162600549
early_access;early_access;C4;AGR_MACHINERY_DIESEL;2035;0.0004095906988609;0.14693009;chained_to_2050;0.0004095906988609
early_access;early_access;C4;FISH_MACHINERY_DIESEL;2035;0.1026539426769238;0.08519203;chained_to_2050;0.1026539426769238
early_access;early_access;C4;FISH_MACHINERY_EL;2035;0.0981263055274586;0.06278883;retired_at_2050;0.0
early_access;early_access;C5;PV_UTILITY;pre-2035;0.0051;882.2095856;retired_at_2050;0.0
early_access;early_access;C5;PV_UTILITY;2035;0.0515028528666311;529.3257513599999;chained_to_2050;0.0515028528666311
early_access;early_access;C5;GENSET_DIESEL;pre-2035;0.02736;384.6;retired_at_2050;0.0
early_access;early_access;C5;GENSET_DIESEL;2035;0.0;384.6;chained_to_2050;0.0
early_access;early_access;C5;IND_BOILER_WOOD;2035;0.0005793483385859;126.7;chained_to_2050;0.0005793483385859
early_access;early_access;C5;IND_BOILER_OIL;2035;0.0001355122800208;60.34;chained_to_2050;0.0001355122800208
early_access;early_access;C5;DEC_SOLAR;2035;0.0004517626365668;743.38;chained_to_2050;0.0004517626365668
early_access;early_access;C5;DEC_DIRECT_ELEC;2035;0.0002295237601465;42.16;retired_at_2050;0.0
early_access;early_access;C5;DEC_ELEC_COLD;2035;0.0070476218486665;510.64;chained_to_2050;0.0070476218486665
early_access;early_access;C5;GRID;2035;1.0;0.0;chained_to_2050;1.0
early_access;early_access;C5;HVAC_LINE;2035;0.3822565330631741;2.0;chained_to_2050;0.3822565330631741
early_access;early_access;C5;BATT_LI;2035;0.0863961834105319;322.39116;retired_at_2050;0.0
early_access;early_access;C5;DIESEL_STORAGE;2035;7.445228479986103;0.01;chained_to_2050;7.445228479986103
early_access;early_access;C5;JET_FUEL_STORAGE;2035;0.2735731133831302;0.01;chained_to_2050;0.2735731133831302
early_access;early_access;C5;GASOLINE_STORAGE;2035;6.891997936968012;0.01;chained_to_2050;6.891997936968012
early_access;early_access;C5;STOVE_WOOD;2035;0.000245483652968;53.65514911;retired_at_2050;0.0
early_access;early_access;C5;STOVE_LPG;2035;0.0120254258800608;52.20521443;retired_at_2050;0.0
early_access;early_access;C5;STOVE_NG;2035;0.0001005265925503;70.48592219;retired_at_2050;0.0
early_access;early_access;C5;STOVE_OIL;2035;0.0003428390351639;17.37818595;retired_at_2050;0.0
early_access;early_access;C5;STOVE_ELEC;2035;0.0036459547973075;20.60357726;retired_at_2050;0.0
early_access;early_access;C5;IND_BOILER_DIESEL;2035;6.009792743876715e-05;171.6964771;chained_to_2050;6.009792743876715e-05
early_access;early_access;C5;LPG_STORAGE;2035;2.527346694476416;0.01;chained_to_2050;2.527346694476416
early_access;early_access;C5;LED_BULB;2035;0.0002306101235187;0.60161002;retired_at_2050;0.0
early_access;early_access;C5;LED_LIGHT;2035;0.0001671629433725;2187.69928;retired_at_2050;0.0
early_access;early_access;C5;REFRIGERATOR_EL;2035;0.0006585627220359;5.96e-05;retired_at_2050;0.0
early_access;early_access;C5;COMM_MACHINERY_DIESEL;2035;6.139661921043918e-05;0.08519203;chained_to_2050;6.139661921043918e-05
early_access;early_access;C5;COMM_MACHINERY_EL;2035;6.139661921043918e-05;0.06278883;retired_at_2050;0.0
early_access;early_access;C5;IND_MACHINERY_EL;2035;0.0003768607705856;0.06278883;chained_to_2050;0.0003768607705856
early_access;early_access;C5;AGR_MACHINERY_DIESEL;2035;0.0004047022369903;0.14693009;chained_to_2050;0.0004047022369903
early_access;early_access;C5;FISH_MACHINERY_DIESEL;2035;0.1014287686531007;0.08519203;chained_to_2050;0.1014287686531007
early_access;early_access;C5;FISH_MACHINERY_EL;2035;0.0969551688185224;0.06278883;retired_at_2050;0.0
late_access;late_access;C1;PV_UTILITY;2035;0.0050318920518649;529.3257513599999;chained_to_2050;0.0050318920518649
late_access;late_access;C1;PV_HS;2035;0.000874275507101;1774.5;chained_to_2050;0.000874275507101
late_access;late_access;C1;GENSET_DIESEL;2035;0.0;384.6;chained_to_2050;0.0
late_access;late_access;C1;HS_DIESEL;2035;0.0001639843454864;1302.41;retired_at_2050;0.0
late_access;late_access;C1;IND_BOILER_WOOD;2035;0.0003044147206988;126.7;chained_to_2050;0.0003044147206988
late_access;late_access;C1;IND_BOILER_OIL;2035;7.12040237734819e-05;60.34;chained_to_2050;7.12040237734819e-05
late_access;late_access;C1;DEC_SOLAR;2035;0.0001220992871031;743.38;chained_to_2050;0.0001220992871031
late_access;late_access;C1;DEC_DIRECT_ELEC;2035;0.0001105877797354;42.16;retired_at_2050;0.0
late_access;late_access;C1;DEC_ELEC_COLD;2035;0.0032341151287847;510.64;chained_to_2050;0.0032341151287847
late_access;late_access;C1;GRID;2035;1.0;0.0;chained_to_2050;1.0
late_access;late_access;C1;BATT_HS;2035;0.0006287270901719;451.44;retired_at_2050;0.0
late_access;late_access;C1;DIESEL_STORAGE;2035;3.912045650817679;0.01;chained_to_2050;3.912045650817679
late_access;late_access;C1;JET_FUEL_STORAGE;2035;0.1437471679033178;0.01;chained_to_2050;0.1437471679033178
late_access;late_access;C1;GASOLINE_STORAGE;2035;3.621354351614265;0.01;chained_to_2050;3.621354351614265
late_access;late_access;C1;STOVE_WOOD;2035;0.0041053049564687;53.65514911;retired_at_2050;0.0
late_access;late_access;C1;STOVE_LPG;2035;0.0103579679765559;52.20521443;retired_at_2050;0.0
late_access;late_access;C1;STOVE_NG;2035;5.282102761992208e-05;70.48592219;retired_at_2050;0.0
late_access;late_access;C1;STOVE_OIL;2035;0.0001801424845521;17.37818595;retired_at_2050;0.0
late_access;late_access;C1;STOVE_ELEC;2035;0.0005201460102615;20.60357726;retired_at_2050;0.0
late_access;late_access;C1;IND_BOILER_DIESEL;2035;3.157805516539692e-05;171.6964771;chained_to_2050;3.157805516539692e-05
late_access;late_access;C1;LPG_STORAGE;2035;0.1416781249966643;0.01;chained_to_2050;0.1416781249966643
late_access;late_access;C1;LED_BULB;2035;0.0001106154713782;0.60161002;retired_at_2050;0.0
late_access;late_access;C1;LED_LIGHT;2035;8.827004464049404e-05;2187.69928;retired_at_2050;0.0
late_access;late_access;C1;REFRIGERATOR_EL;2035;0.000354510073608;5.96e-05;retired_at_2050;0.0
late_access;late_access;C1;COMM_MACHINERY_DIESEL;2035;2.086896806232e-05;0.08519203;chained_to_2050;2.086896806232e-05
late_access;late_access;C1;COMM_MACHINERY_EL;2035;2.116703804965843e-05;0.06278883;retired_at_2050;0.0
late_access;late_access;C1;IND_MACHINERY_EL;2035;7.806150519259081e-05;0.06278883;chained_to_2050;7.806150519259081e-05
late_access;late_access;C1;AGR_MACHINERY_DIESEL;2035;0.0002126480913715;0.14693009;chained_to_2050;0.0002126480913715
late_access;late_access;C1;FISH_MACHINERY_DIESEL;2035;0.0532950700363054;0.08519203;chained_to_2050;0.0532950700363054
late_access;late_access;C1;FISH_MACHINERY_EL;2035;0.0509444468387224;0.06278883;retired_at_2050;0.0
late_access;late_access;C2;PV_UTILITY;2035;0.002965296849317;529.3257513599999;chained_to_2050;0.002965296849317
late_access;late_access;C2;GENSET_DIESEL;2035;0.0;384.6;chained_to_2050;0.0
late_access;late_access;C2;IND_BOILER_WOOD;2035;2.98533389582351e-05;126.7;chained_to_2050;2.98533389582351e-05
late_access;late_access;C2;DEC_SOLAR;2035;1.700145154395803e-05;743.38;chained_to_2050;1.700145154395803e-05
late_access;late_access;C2;DEC_DIRECT_ELEC;2035;1.084512097674765e-05;42.16;retired_at_2050;0.0
late_access;late_access;C2;DEC_ELEC_COLD;2035;0.0001827811051244;510.64;chained_to_2050;0.0001827811051244
late_access;late_access;C2;GRID;2035;1.0;0.0;chained_to_2050;1.0
late_access;late_access;C2;HVAC_LINE;2035;0.0050335728344868;2.0;chained_to_2050;0.0050335728344868
late_access;late_access;C2;BATT_LI;2035;0.0025295507056954;322.39116;retired_at_2050;0.0
late_access;late_access;C2;DIESEL_STORAGE;2035;0.3836464431347247;0.01;chained_to_2050;0.3836464431347247
late_access;late_access;C2;JET_FUEL_STORAGE;2035;0.0140969954339032;0.01;chained_to_2050;0.0140969954339032
late_access;late_access;C2;GASOLINE_STORAGE;2035;0.3551389325011788;0.01;chained_to_2050;0.3551389325011788
late_access;late_access;C2;STOVE_WOOD;2035;0.0002782148066971;53.65514911;retired_at_2050;0.0
late_access;late_access;C2;STOVE_LPG;2035;0.0004364510657897;52.20521443;retired_at_2050;0.0
late_access;late_access;C2;STOVE_OIL;2035;1.766621088418493e-05;17.37818595;retired_at_2050;0.0
late_access;late_access;C2;STOVE_ELEC;2035;0.0003797981520407;20.60357726;retired_at_2050;0.0
late_access;late_access;C2;LPG_STORAGE;2035;0.2319943246638849;0.01;chained_to_2050;0.2319943246638849
late_access;late_access;C2;REFRIGERATOR_EL;2035;2.579843682174128e-05;5.96e-05;retired_at_2050;0.0
late_access;late_access;C2;AGR_MACHINERY_DIESEL;2035;2.085397032037124e-05;0.14693009;chained_to_2050;2.085397032037124e-05
late_access;late_access;C2;FISH_MACHINERY_DIESEL;2035;0.0052265402505645;0.08519203;chained_to_2050;0.0052265402505645
late_access;late_access;C2;FISH_MACHINERY_EL;2035;0.0049960193647169;0.06278883;retired_at_2050;0.0
late_access;late_access;C3;PV_UTILITY;2035;0.1100566961164453;529.3257513599999;chained_to_2050;0.1100566961164453
late_access;late_access;C3;PV_HS;2035;0.0004720357211384;1774.5;chained_to_2050;0.0004720357211384
late_access;late_access;C3;GENSET_DIESEL;pre-2035;0.05333;384.6;retired_at_2050;0.0
late_access;late_access;C3;GENSET_DIESEL;2035;0.0;384.6;chained_to_2050;0.0
late_access;late_access;C3;HS_DIESEL;2035;2.805542699760204e-05;1302.41;retired_at_2050;0.0
late_access;late_access;C3;IND_BOILER_WOOD;2035;0.0015000372236146;126.7;chained_to_2050;0.0015000372236146
late_access;late_access;C3;IND_BOILER_OIL;2035;0.0003508657067771;60.34;chained_to_2050;0.0003508657067771
late_access;late_access;C3;DEC_BOILER_GAS;2035;1.397034667593121e-05;174.39;chained_to_2050;1.397034667593121e-05
late_access;late_access;C3;DEC_SOLAR;2035;0.0008172401097377;743.38;chained_to_2050;0.0008172401097377
late_access;late_access;C3;DEC_DIRECT_ELEC;2035;0.0005449335225947;42.16;retired_at_2050;0.0
late_access;late_access;C3;DEC_ELEC_COLD;2035;0.0134726857909945;510.64;chained_to_2050;0.0134726857909945
late_access;late_access;C3;GRID;2035;1.0;0.0;chained_to_2050;1.0
late_access;late_access;C3;HVAC_LINE;2035;0.0510026085136177;2.0;chained_to_2050;0.0510026085136177
late_access;late_access;C3;BATT_LI;2035;0.1600086039105613;322.39116;retired_at_2050;0.0
late_access;late_access;C3;BATT_HS;2035;0.0002360178605692;451.44;retired_at_2050;0.0
late_access;late_access;C3;DIESEL_STORAGE;2035;19.27703786214855;0.01;chained_to_2050;19.27703786214855
late_access;late_access;C3;JET_FUEL_STORAGE;2035;0.7083300773010399;0.01;chained_to_2050;0.7083300773010399
late_access;late_access;C3;GASOLINE_STORAGE;2035;17.84462431662407;0.01;chained_to_2050;17.84462431662407
late_access;late_access;C3;STOVE_WOOD;2035;0.0057394078063926;53.65514911;retired_at_2050;0.0
late_access;late_access;C3;STOVE_LPG;2035;0.0301180904739574;52.20521443;retired_at_2050;0.0
late_access;late_access;C3;STOVE_NG;2035;0.0002602814589175;70.48592219;retired_at_2050;0.0
late_access;late_access;C3;STOVE_OIL;2035;0.0008876720276943;17.37818595;retired_at_2050;0.0
late_access;late_access;C3;STOVE_ELEC;2035;0.0092023796296789;20.60357726;retired_at_2050;0.0
late_access;late_access;C3;IND_BOILER_DIESEL;2035;0.000155604361342;171.6964771;chained_to_2050;0.000155604361342
late_access;late_access;C3;LPG_STORAGE;2035;6.462001942575141;0.01;chained_to_2050;6.462001942575141
late_access;late_access;C3;LED_BULB;2035;0.0004809946057848;0.60161002;retired_at_2050;0.0
late_access;late_access;C3;LED_LIGHT;2035;0.0004018238850553;2187.69928;retired_at_2050;0.0
late_access;late_access;C3;REFRIGERATOR_EL;2035;0.0013599496221663;5.96e-05;retired_at_2050;0.0
late_access;late_access;C3;COMM_MACHINERY_DIESEL;2035;9.305189006083307e-05;0.08519203;chained_to_2050;9.305189006083307e-05
late_access;late_access;C3;COMM_MACHINERY_EL;2035;9.305189006083307e-05;0.06278883;retired_at_2050;0.0
late_access;late_access;C3;IND_MACHINERY_EL;2035;0.0007276016716734;0.06278883;chained_to_2050;0.0007276016716734
late_access;late_access;C3;AGR_MACHINERY_DIESEL;2035;0.0010478470024567;0.14693009;chained_to_2050;0.0010478470024567
late_access;late_access;C3;FISH_MACHINERY_DIESEL;2035;0.2626173553831055;0.08519203;chained_to_2050;0.2626173553831055
late_access;late_access;C3;FISH_MACHINERY_EL;2035;0.2510343994505795;0.06278883;retired_at_2050;0.0
late_access;late_access;C4;PV_UTILITY;pre-2035;0.0004;882.2095856;retired_at_2050;0.0
late_access;late_access;C4;PV_UTILITY;2035;0.04143634270614;529.3257513599999;chained_to_2050;0.04143634270614
late_access;late_access;C4;PV_HS;2035;0.0010569765238928;1774.5;chained_to_2050;0.0010569765238928
late_access;late_access;C4;GENSET_DIESEL;pre-2035;0.00742;384.6;retired_at_2050;0.0
late_access;late_access;C4;GENSET_DIESEL;2035;0.0;384.6;chained_to_2050;0.0
late_access;late_access;C4;HS_DIESEL;2035;5.963046373969717e-05;1302.41;retired_at_2050;0.0
late_access;late_access;C4;IND_BOILER_WOOD;2035;0.0005863463781422;126.7;chained_to_2050;0.0005863463781422
late_access;late_access;C4;IND_BOILER_OIL;2035;0.0001371491541305;60.34;chained_to_2050;0.0001371491541305
late_access;late_access;C4;DEC_SOLAR;2035;0.0002981443622629;743.38;chained_to_2050;0.0002981443622629
late_access;late_access;C4;DEC_DIRECT_ELEC;2035;0.0002130079122515;42.16;retired_at_2050;0.0
late_access;late_access;C4;DEC_ELEC_COLD;2035;0.0062934345516447;510.64;chained_to_2050;0.0062934345516447
late_access;late_access;C4;GRID;2035;1.0;0.0;chained_to_2050;1.0
late_access;late_access;C4;HVAC_LINE;2035;0.4274168085136177;2.0;chained_to_2050;0.4274168085136177
late_access;late_access;C4;BATT_LI;2035;0.0394642469249632;322.39116;retired_at_2050;0.0
late_access;late_access;C4;BATT_HS;2035;0.0005284882619464;451.44;retired_at_2050;0.0
late_access;late_access;C4;DIESEL_STORAGE;2035;7.535160563912947;0.01;chained_to_2050;7.535160563912947
late_access;late_access;C4;JET_FUEL_STORAGE;2035;0.2768776459786088;0.01;chained_to_2050;0.2768776459786088
late_access;late_access;C4;GASOLINE_STORAGE;2035;6.975247462292479;0.01;chained_to_2050;6.975247462292479
late_access;late_access;C4;STOVE_WOOD;2035;0.0047255603196347;53.65514911;retired_at_2050;0.0
late_access;late_access;C4;STOVE_LPG;2035;0.0133415306350363;52.20521443;retired_at_2050;0.0
late_access;late_access;C4;STOVE_NG;2035;0.0001017408690473;70.48592219;retired_at_2050;0.0
late_access;late_access;C4;STOVE_OIL;2035;0.0003469802417053;17.37818595;retired_at_2050;0.0
late_access;late_access;C4;STOVE_ELEC;2035;0.0037264216273401;20.60357726;retired_at_2050;0.0
late_access;late_access;C4;IND_BOILER_DIESEL;2035;6.082385974141995e-05;171.6964771;chained_to_2050;6.082385974141995e-05
late_access;late_access;C4;LPG_STORAGE;2035;2.627874014819621;0.01;chained_to_2050;2.627874014819621
late_access;late_access;C4;LED_BULB;2035;0.0002336585970424;0.60161002;retired_at_2050;0.0
late_access;late_access;C4;LED_LIGHT;2035;0.000113880631937;2187.69928;retired_at_2050;0.0
late_access;late_access;C4;REFRIGERATOR_EL;2035;0.0006982820769644;5.96e-05;retired_at_2050;0.0
late_access;late_access;C4;COMM_MACHINERY_DIESEL;2035;4.669155976115596e-05;0.08519203;chained_to_2050;4.669155976115596e-05
late_access;late_access;C4;COMM_MACHINERY_EL;2035;4.669155976115596e-05;0.06278883;retired_at_2050;0.0
late_access;late_access;C4;IND_MACHINERY_EL;2035;0.0001610881596657;0.06278883;chained_to_2050;0.0001610881596657
late_access;late_access;C4;AGR_MACHINERY_DIESEL;2035;0.0004095906988609;0.14693009;chained_to_2050;0.0004095906988609
late_access;late_access;C4;FISH_MACHINERY_DIESEL;2035;0.1026539426769238;0.08519203;chained_to_2050;0.1026539426769238
late_access;late_access;C4;FISH_MACHINERY_EL;2035;0.0981263055274586;0.06278883;retired_at_2050;0.0
late_access;late_access;C5;PV_UTILITY;pre-2035;0.0051;882.2095856;retired_at_2050;0.0
late_access;late_access;C5;PV_UTILITY;2035;0.0527319362718367;529.3257513599999;chained_to_2050;0.0527319362718367
late_access;late_access;C5;GENSET_DIESEL;pre-2035;0.02736;384.6;retired_at_2050;0.0
late_access;late_access;C5;GENSET_DIESEL;2035;0.0;384.6;chained_to_2050;0.0
late_access;late_access;C5;IND_BOILER_WOOD;2035;0.0005793483385859;126.7;chained_to_2050;0.0005793483385859
late_access;late_access;C5;IND_BOILER_OIL;2035;0.0001355122800208;60.34;chained_to_2050;0.0001355122800208
late_access;late_access;C5;DEC_SOLAR;2035;0.0004524157210869;743.38;chained_to_2050;0.0004524157210869
late_access;late_access;C5;DEC_DIRECT_ELEC;2035;0.0002272436898137;42.16;retired_at_2050;0.0
late_access;late_access;C5;DEC_ELEC_COLD;2035;0.0069424232515879;510.64;chained_to_2050;0.0069424232515879
late_access;late_access;C5;GRID;2035;1.0;0.0;chained_to_2050;1.0
late_access;late_access;C5;HVAC_LINE;2035;0.3814477728344869;2.0;chained_to_2050;0.3814477728344869
late_access;late_access;C5;BATT_LI;2035;0.1004727010712818;322.39116;retired_at_2050;0.0
late_access;late_access;C5;DIESEL_STORAGE;2035;7.445228479986103;0.01;chained_to_2050;7.445228479986103
late_access;late_access;C5;JET_FUEL_STORAGE;2035;0.2735731133831302;0.01;chained_to_2050;0.2735731133831302
late_access;late_access;C5;GASOLINE_STORAGE;2035;6.891997936968012;0.01;chained_to_2050;6.891997936968012
late_access;late_access;C5;STOVE_WOOD;2035;0.000245483652968;53.65514911;retired_at_2050;0.0
late_access;late_access;C5;STOVE_LPG;2035;0.0120254258800608;52.20521443;retired_at_2050;0.0
late_access;late_access;C5;STOVE_NG;2035;0.0001005265925503;70.48592219;retired_at_2050;0.0
late_access;late_access;C5;STOVE_OIL;2035;0.0003428390351639;17.37818595;retired_at_2050;0.0
late_access;late_access;C5;STOVE_ELEC;2035;0.0036388071797169;20.60357726;retired_at_2050;0.0
late_access;late_access;C5;IND_BOILER_DIESEL;2035;6.009792743876715e-05;171.6964771;chained_to_2050;6.009792743876715e-05
late_access;late_access;C5;LPG_STORAGE;2035;2.835049643238812;0.01;chained_to_2050;2.835049643238812
late_access;late_access;C5;LED_BULB;2035;0.000228351785564;0.60161002;retired_at_2050;0.0
late_access;late_access;C5;LED_LIGHT;2035;0.0001652463020433;2187.69928;retired_at_2050;0.0
late_access;late_access;C5;REFRIGERATOR_EL;2035;0.0006458073310476;5.96e-05;retired_at_2050;0.0
late_access;late_access;C5;COMM_MACHINERY_DIESEL;2035;6.1082109920643e-05;0.08519203;chained_to_2050;6.1082109920643e-05
late_access;late_access;C5;COMM_MACHINERY_EL;2035;6.1082109920643e-05;0.06278883;retired_at_2050;0.0
late_access;late_access;C5;IND_MACHINERY_EL;2035;0.0003770229440935;0.06278883;chained_to_2050;0.0003770229440935
late_access;late_access;C5;AGR_MACHINERY_DIESEL;2035;0.0004047022369903;0.14693009;chained_to_2050;0.0004047022369903
late_access;late_access;C5;FISH_MACHINERY_DIESEL;2035;0.1014287686531007;0.08519203;chained_to_2050;0.1014287686531007
late_access;late_access;C5;FISH_MACHINERY_EL;2035;0.0969551688185224;0.06278883;retired_at_2050;0.0
early_access_brazil;early_access;C1;PV_UTILITY;2035;0.0067034492530544;529.3257513599999;chained_to_2050;0.0067034492530544
early_access_brazil;early_access;C1;PV_HS;2035;0.0008830884277424;1774.5;chained_to_2050;0.0008830884277424
early_access_brazil;early_access;C1;GENSET_DIESEL;2035;0.0;384.6;chained_to_2050;0.0
early_access_brazil;early_access;C1;HS_DIESEL;2035;0.000162927098178;1302.41;retired_at_2050;0.0
early_access_brazil;early_access;C1;IND_BOILER_WOOD;2035;0.0003044147206988;126.7;chained_to_2050;0.0003044147206988
early_access_brazil;early_access;C1;IND_BOILER_OIL;2035;7.12040237734819e-05;60.34;chained_to_2050;7.12040237734819e-05
early_access_brazil;early_access;C1;DEC_SOLAR;2035;0.000138516087303;743.38;chained_to_2050;0.000138516087303
early_access_brazil;early_access;C1;DEC_DIRECT_ELEC;2035;0.0001105877797354;42.16;retired_at_2050;0.0
early_access_brazil;early_access;C1;DEC_ELEC_COLD;2035;0.0042520377845107;510.64;chained_to_2050;0.0042520377845107
early_access_brazil;early_access;C1;GRID;2035;1.0;0.0;chained_to_2050;1.0
early_access_brazil;early_access;C1;BATT_HS;2035;0.0006537774197571;451.44;retired_at_2050;0.0
early_access_brazil;early_access;C1;DIESEL_STORAGE;2035;3.912045650817679;0.01;chained_to_2050;3.912045650817679
early_access_brazil;early_access;C1;JET_FUEL_STORAGE;2035;0.1437471679033178;0.01;chained_to_2050;0.1437471679033178
early_access_brazil;early_access;C1;GASOLINE_STORAGE;2035;3.621354351614265;0.01;chained_to_2050;3.621354351614265
early_access_brazil;early_access;C1;STOVE_WOOD;2035;0.0041053049564687;53.65514911;retired_at_2050;0.0
early_access_brazil;early_access;C1;STOVE_LPG;2035;0.0103537413250907;52.20521443;retired_at_2050;0.0
early_access_brazil;early_access;C1;STOVE_NG;2035;5.282102761992208e-05;70.48592219;retired_at_2050;0.0
early_access_brazil;early_access;C1;STOVE_OIL;2035;0.0001801424845521;17.37818595;retired_at_2050;0.0
early_access_brazil;early_access;C1;STOVE_ELEC;2035;0.0006597924266474;20.60357726;retired_at_2050;0.0
early_access_brazil;early_access;C1;IND_BOILER_DIESEL;2035;3.157805516539692e-05;171.6964771;chained_to_2050;3.157805516539692e-05
early_access_brazil;early_access;C1;LPG_STORAGE;2035;0.1773348627697475;0.01;chained_to_2050;0.1773348627697475
early_access_brazil;early_access;C1;LED_BULB;2035;0.0001319806635507;0.60161002;retired_at_2050;0.0
early_access_brazil;early_access;C1;LED_LIGHT;2035;0.0001070182041968;2187.69928;retired_at_2050;0.0
early_access_brazil;early_access;C1;REFRIGERATOR_EL;2035;0.0004773108773681;5.96e-05;retired_at_2050;0.0
early_access_brazil;early_access;C1;COMM_MACHINERY_DIESEL;2035;2.004968515130663e-05;0.08519203;chained_to_2050;2.004968515130663e-05
early_access_brazil;early_access;C1;COMM_MACHINERY_EL;2035;2.004968515130663e-05;0.06278883;retired_at_2050;0.0
early_access_brazil;early_access;C1;IND_MACHINERY_EL;2035;7.678737161576482e-05;0.06278883;chained_to_2050;7.678737161576482e-05
early_access_brazil;early_access;C1;AGR_MACHINERY_DIESEL;2035;0.0002126480913715;0.14693009;chained_to_2050;0.0002126480913715
early_access_brazil;early_access;C1;FISH_MACHINERY_DIESEL;2035;0.0532950700363054;0.08519203;chained_to_2050;0.0532950700363054
early_access_brazil;early_access;C1;FISH_MACHINERY_EL;2035;0.0509444468387224;0.06278883;retired_at_2050;0.0
early_access_brazil;early_access;C2;PV_UTILITY;2035;0.0034920268875039;529.3257513599999;chained_to_2050;0.0034920268875039
early_access_brazil;early_access;C2;GENSET_DIESEL;2035;0.0;384.6;chained_to_2050;0.0
early_access_brazil;early_access;C2;IND_BOILER_WOOD;2035;2.98533389582351e-05;126.7;chained_to_2050;2.98533389582351e-05
early_access_brazil;early_access;C2;DEC_SOLAR;2035;2.15449461967853e-05;743.38;chained_to_2050;2.15449461967853e-05
early_access_brazil;early_access;C2;DEC_DIRECT_ELEC;2035;1.121865729421567e-05;42.16;retired_at_2050;0.0
early_access_brazil;early_access;C2;DEC_ELEC_COLD;2035;0.0002765901751998;510.64;chained_to_2050;0.0002765901751998
early_access_brazil;early_access;C2;GRID;2035;1.0;0.0;chained_to_2050;1.0
early_access_brazil;early_access;C2;HVAC_LINE;2035;0.005842333063174;2.0;chained_to_2050;0.005842333063174
early_access_brazil;early_access;C2;BATT_LI;2035;0.0027339617477983;322.39116;retired_at_2050;0.0
early_access_brazil;early_access;C2;DIESEL_STORAGE;2035;0.3836464431347247;0.01;chained_to_2050;0.3836464431347247
early_access_brazil;early_access;C2;JET_FUEL_STORAGE;2035;0.0140969954339032;0.01;chained_to_2050;0.0140969954339032
early_access_brazil;early_access;C2;GASOLINE_STORAGE;2035;0.3551389325011788;0.01;chained_to_2050;0.3551389325011788
early_access_brazil;early_access;C2;STOVE_WOOD;2035;0.0002782148066971;53.65514911;retired_at_2050;0.0
early_access_brazil;early_access;C2;STOVE_LPG;2035;0.0004506405982404;52.20521443;retired_at_2050;0.0
early_access_brazil;early_access;C2;STOVE_OIL;2035;1.766621088418493e-05;17.37818595;retired_at_2050;0.0
early_access_brazil;early_access;C2;STOVE_ELEC;2035;0.0003691876438333;20.60357726;retired_at_2050;0.0
early_access_brazil;early_access;C2;LPG_STORAGE;2035;0.268968510832605;0.01;chained_to_2050;0.268968510832605
early_access_brazil;early_access;C2;REFRIGERATOR_EL;2035;3.415958927424054e-05;5.96e-05;retired_at_2050;0.0
early_access_brazil;early_access;C2;AGR_MACHINERY_DIESEL;2035;2.085397032037124e-05;0.14693009;chained_to_2050;2.085397032037124e-05
early_access_brazil;early_access;C2;FISH_MACHINERY_DIESEL;2035;0.0052265402505645;0.08519203;chained_to_2050;0.0052265402505645
early_access_brazil;early_access;C2;FISH_MACHINERY_EL;2035;0.0049960193647169;0.06278883;retired_at_2050;0.0
early_access_brazil;early_access;C3;PV_UTILITY;2035;0.1194125018174019;529.3257513599999;chained_to_2050;0.1194125018174019
early_access_brazil;early_access;C3;PV_HS;2035;0.0004787338288151;1774.5;chained_to_2050;0.0004787338288151
early_access_brazil;early_access;C3;GENSET_DIESEL;pre-2035;0.05333;384.6;retired_at_2050;0.0
early_access_brazil;early_access;C3;GENSET_DIESEL;2035;0.0;384.6;chained_to_2050;0.0
