time,community
0,9105.233000000146
1,16051.180000000142
2,23726.127000000142
3,31030.065000000126
4,35298.05700000011
5,40687.01799999987
6,45343.00299999968
7,51688.98599999951
8,55800.97699999945
9,57892.95599999944
10,70813.93299999926
11,68361.92299999935
12,64394.9099999995
13,61978.88799999954
14,61788.86599999958
15,60185.85199999969
16,60340.84199999975
17,57252.84299999983
18,57146.83899999985
19,59578.813999999904
20,51605.803
21,58345.76899999999
22,64647.74000000002
23,71615.71800000001
24,75191.69000000003
25,84873.66700000003
26,89315.64200000008
27,92620.6300000001
28,98195.59900000012
29,102661.56100000016
30,101581.57400000012
31,101323.57900000013
32,102200.59200000012
33,101024.59700000013
34,101997.60300000013
35,98135.60800000008
36,95869.62400000005
37,99209.63200000004
38,97071.64900000002
39,96678.60400000008
40,94110.60400000008
41,91650.60000000006
42,89442.57600000009
43,87489.57400000004
44,87059.55700000004
45,86219.54899999998
46,85679.526
47,82472.50299999995
48,82997.50199999995
49,81575.4959999999
50,78883.50199999986
51,81645.47799999986
52,81420.46599999984
53,81778.43999999986
54,81317.43699999989
55,83954.41799999992
56,84848.4089999999
57,84506.3949999999
58,86415.38699999989
59,87240.36599999992
60,87327.34999999993
61,86740.32599999993
62,87583.31699999991
63,86945.30199999992
64,88230.27999999985
65,85339.27299999988
66,83494.25699999985
67,86002.23399999987
68,84591.21699999987
69,84956.18899999987
70,86053.16299999988
71,83306.13999999988
72,83583.12699999986
73,82028.10099999985
74,81608.0889999998
75,82272.0669999998
76,89492.05199999985
77,86932.03299999982
78,90358.0039999999
79,89080.99499999985
80,87940.97899999985
81,92577.95999999986
82,93174.95199999989
83,94946.9599999999
84,94749.96799999989
85,96237.96299999993
86,96630.97199999995
87,96896.97499999995
88,96865.98199999995
89,95023.00399999991
90,98008.00099999992
91,97473.00099999992
92,96573.9979999999
93,96794.99899999992
94,97400.00299999994
95,96464.99899999991
96,97859.99999999994
97,99800.01199999994
98,98492.00899999993
99,94772.00999999995
100,94005.01499999993
101,92873.01699999995
102,94446.02399999993
103,92949.02199999995
104,93784.03099999996
105,92399.03599999996
106,91426.04299999995
107,86806.03699999988
108,88169.03899999987
109,85907.03299999991
110,84705.03899999987
111,84882.04399999988
112,83471.04199999987
113,83489.04499999987
114,84816.04599999989
115,86040.04199999987
116,87583.04599999989
117,86694.0399999999
118,86689.0389999999
119,88667.02999999987
120,90662.0219999999
121,90573.02199999991
122,92740.01999999992
